ingredientId,ingredientName
0,
1,Heavy cream flavored with Hum Liqueur
2,Celery Root Puree
3,House-made Spiced Pumpkin Puree
4,Fee Brothers Celery Bitters
5,Hibiscus/rose syrup
6,Batavia Arrack
7,Activated Charcoal
8,Ginger Ale
9,Tempus Fugit Kina L'Aero d'Or
10,Chamomile Tea Syrup
11,Demerara Syrup (2:1)
12,BarSol Primero Quebranta Pisco
13,Fee Bros Lemon Bitters
14,oz 2 Dashes Orange Bitters
15,Pineapple Juice
16,D'Arisit Xtabentun Honey Liqueur
17,Islay Scotch
18,Simple Syrup (1.5 : 1)
19,Strawberry juice
20,Copper & Kings Absinthe
21,Bundaberg Ginger Beer
22,Yuzu-Infused Vieux Pontarlier Absinthe Francaise Superieure
23,float Ale
24,The Bitter Truth Grapefruit Bitters
25,Rhubarb Syrup
26,Extra Dry Vermouth
27,Okinawa sugar
28,Lemon slice
29,Calisaya
30,Orchard Syrup
31,Ardbeg Ten
32,Hazelnut Cinnamon syrup
33,J. T. Taylor's Falernum
34,Cranberry Juice
35,Caper berry
36,Fee Brothers Gin Barrel Aged Bitters
37,Baked Apple Bitters
38,Vanilla Agave Nectar
39,Amaro Sibilla
40,Luxardo Amaro Abano
41,Mint
42,Pure Cane Simple Syrup
43,Ghost-Pepper-Infused Campari
44,Luxardo Sambuca dei Cesari
45,Gossling's 151 Rum
46,C. Drouin Pommeau de Normandie
47,Fresh egg White
48,SC Demerara Syrup
49,top Pear Cider
50,Fuji Apple Cider
51,Basil-Infused White Rum
52,Broker's Gin
53,top Fever-Tree Tonic Water
54,Bittermens Orange Cream Citrate
55,Sioux City Sarsparilla Soda
56,Banks 5 Island Rum
57,Breck Bourbon
58,Brown Sugar
59,Green Tabasco
60,Gomme syrup
61,Rich Brown Sugar Simple Syrup
62,Luxardo Liquore St. Antonio
63,Condense Milk
64,Coconut Water
65,Oloroso & Moscatel Blend
66,Orange slice
67,lemon Lemon
68,House Ginger Beer
69,Small Hand Foods Orgeat
70,Lemon-Celery Bitters
71,Pear Bitters
72,Montenegro Amaro Liquore Italiano
73,Earl Grey Syrup
74,Miso washed White Rhum Agricole
75,East Imperial Superior Tonic 
76,F. Meyer Mirabelle (Yellow Plum)
77,Barr Hill Gin
78,Bitter
79,Whole licorice root
80,Pineapple-Infused Mezcal
81,Whole Peppercorns
82,Cane sugar syrup
83,Fresh Cider
84,Honey-Ginger Syrup
85,Ypiòca
86,Clover Honey Syrup
87,rinse St. George Absinthe
88,Rock & Rye
89,California Poppy Oil
90,Honey-Pear Liqueur
91,Black Licorice-Infused Angostura Bitters
92,Luxardo Orgeat Syrup
93,Fresh lemon
94,Hot coffee
95,Beet Sugar Water
96,St. Germaine Elderflower Liqueur
97,Honey Syrup
98,Fresh Squeezed Ruby Grapefruit
99,Napoleon Amontillado
100,Pink Pigeon Rum
101,Tempus Fugit Alessio Vino Chinato
102,Strawberry & Black Pepper Shrub
103,Vanilla Syrup
104,Broker's London Dry Gin
105,House-made Apple Pie Bitters
106,Smoked Malt
107,Rose Water
108,Barr Hill Honey Gin
109,Lemon sorbet
110,float Luxardo Aperitivo
111,Vieux Pontarlier Absinthe Francaise Superieure
112,Apple Brandy
113,Lazzaroni Amaro
114,Basil
115,Rich simple syrup (2:1 sugar to water)
116,Passion Fruit (fresh or puree)
117,float Luxardo Amaretto di Saschira
118,Strawberry
119,Leopold Bros. Sour Apple Liqueur
120,Jamaican Rum
121,Wild Turkey 101 Bourbon
122,Heavy cream
123,Hangar 1 Buddha's Hand Citron Vodka
124,Fennel Bitters
125,Rothman & Winter Orchard Apricot Liqueur
126,Espresso coffee
127,Briottet Creme de Mure (Blackberry)
128,Citric Acid Solution
129,Coconut Milk
130,Ancho Chile-Infused Simple Syrup
131,Calvados
132,Pedro Ximenez Sherry
133,Ypioca Brasilizar Cachaca Prata Reserva Especial
134,Oloroso Sherry
135,Soda
136,Falernum
137,Pear flavored Vodka
138,Tequila
139,The Genuine Curacao Liqueur Orange
140,top Anchor California Lager
141,Graham's 20 Year Tawny Port
142,top Club Soda
143,Vya Dry Vermouth
144,Fresh grapefruit juice
145,part Fee Brothers Whiskey Barrel Bitters
146,Lemon Peel
147,Prata Cachaca
148,Rich coffee syrup
149,Rich Demerara Simple Syrup
150,Don's Mix
151,Lustau Pedro Ximénez Sherry
152,Cold water
153,Applejack
154,Rich Simple Syrup
155,Benedictine
156,Soda Water
157,Giffard Abricot du Roussillon
158,Duplais Swiss Absinthe Blanche
159,Jummai Ginjo Sake
160,Bittermens Hopped Grapefruit Bitters
161,Roasted Cherries
162,Cloves torched & muddled
163,Mole
164,Perfect Puree Apricot
165,Maple Syrup
166,Agave Syrup
167,Chinaco Blanco Tequila
168,Bay Leaf-Infused Honey Syrup
169,Allspice Berries
170,Fresh lemon syrup
171,BenRiach Curiositas Single Malt 10 YO
172,Pages Elderflower Syrup
173,Hirsh Pinot Noir Reduction
174,Fee Brothers Orange Flower Water
175,Dolin Dry Vermouth
176,Forgery Earth Day Bitters
177,Good quality sharp lemonade
178,Cinnamon Wineshine Brandy
179,float Prosecco
180,Apple & Cinnamon-Infused Karlsson's Gold Vodka
181,D'aristi 10 YR Rum
182,float Anchor California Lager
183,Rye or Bourbon Whiskey
184,House-made Green Apple Purée
185,Hidalgo La Gitana Manzanilla Sherry
186,Apple Cider Reduction
187,Root 23 Cherry Almond Simple Syrup
188,Blended Aged Rum
189,Pilon Syrup
190,Demitri's Bloody Mary Seasoning
191,Cinnamon
192,Kumquats
193,Scrappy's Aromatic Bitters
194,Hibiscus syrup
195,Bombay Dry Gin
196,Basil Leaves
197,Basic House Lemonade
198,White peach puree
199,Cranberry Bitters
200,Rhubarb Infused Gin
201,Sparkling Rose
202,Honey
203,Rooibus Tea (steeped and cooled)
204,Bar Keep Baked apple bitters
205,Coconut milk
206,Luxardo Angioletto (Hazelnut Liqueur)
207,Vanilla Marinade
208,Cava
209,float Pisco
210,Pumpkin-Infused Glenrothes Vintage Reserve
211,Bittercube Corazon Bitters
212,Don Ciccio & Figli Concerto
213,Rich Wild Sage Honey Syrup
214,Rich Simple (2:1)
215,Nigori sake (Unfiltered)
216,Blended Lightly Aged Rum
217,coffee spoon Sugar Syrup
218,Orange Cordial
219,House-made Roasted Banana Bitters (or Bittermens Tiki Bitters)
220,Vanilla
221,Old Tom Gin
222,Luxardo Sangue Morlacco Cherry Liqueur
223,Thai Basil Syrup
224,IPA
225,Juice of an Orange
226,Nikka Whisky Taketsuru Pure Malt 12 YO
227,Coconut Vinegar
228,Bin 27 Port
229,Simple Syrup
230,Pastis Prado
231,Fresh Lemon Juice
232,Fentimans Ginger Beer
233,Atomized Pipe Tobacco Essence
234,Brandy de Jerez (Foie Gras-Infused)
235,Sugar Syrup
236,Lemon Peel (white pith removed and julienned)
237,Star Anise
238,Satsuma slices
239,Large Pieces Candied Ginger
240,Tempus Fugit Alessio Extra Dry Vermouth
241,oz Heavy Cream
242,Jack Daniel's
243,muddled
244,Fee Brothers Cranberry Bitters
245,Black Pepper Balsamic Shrub
246,Cocktail onion
247,Salt
248,Mint leaves
249,Fever-Tree Lemonade
250,BarSol Selecto Italia Pisco
251,Heavy Cream
252,Black Rum
253,grated
254,Monin Apple Puree
255,Fresh pineapple juice
256,1/2 oz Condensed milk
257,float Tonic Water
258,Mandarine Napoleon
259,Sweet vermouth
260,Red Vermouth
261,Martini & Rossi Sweet Vermouth
262,Pierre Ferrand Dry Orange Curacao
263,top Soda
264,Passion fruit juice
265,Carbonated Water
266,Granny Smith Apple Juice
267,Carpano Antica Vermouth
268,Finely chopped drained stem ginger in syrup
269,Fresh orange juice
270,Pomegranate juice
271,Nocino
272,Concord grapes
273,Sugar Cube
274,Pipparas Pepper
275,Lime Juice
276,Orange bitters
277,Fever-Tree Bitter Lemon
278,float Pomegranate liqueur
279,top Fever-Tree Mediterranean Tonic Water
280,Mezcal
281,Bittercube Bitters Jamaican #2
282,Dolin Rouge Vermouth
283,Topo Chico Mineral Water
284,Vodka
285,Luxardo Fernet
286,Fresh Lime Juice
287,Fresh Cantaloupe Juice
288,Rothman & Winter Orchard Pear Liqueur
289,Liqueur de Violette
290,Pistachio syrup
291,Orgeat Syrup
292,Duplais Swiss Absinthe Verte
293,Bloody mix
294,Rich Simple Syrup (2:1)
295,Aromatic Bitters
296,Orange marmalade syrup
297,Blood Orange Vanilla Mint Puree
298,Orange blossom water
299,Ginger beer
300,Castilian Tincture
301,Carpano Antica
302,Walnut Liqueur
303,Ca' Secco Sparkling
304,Orange Juice
305,top Founders Porter
306,Sherry
307,Chamucos Blanco Tequila
308,Strawberry shrub
309,Cinnamon stick
310,Contratto Bianco Vermouth
311,float Mango Flavored Rum
312,Orange Liqueur
313,Jalapeno-Orange Simple Syrup
314,Bulleit Rye
315,fill Club soda
316,Soy milk coffee foam
317,small scoop Lemon Sorbet
318,Basil Leaf
319,float Bitter Lemon Soda
320,House-made Cranberry Syrup
321,Tonic water
322,oz Mexican Coca Cola
323,Reisetbauer Carrot Eau De Vie
324,Strawberries
325,Darjeeling simple syrup
326,Dancing Pines Black Walnut Bourbon
327,BarSol Selecto Acholado Pisco
328,Cane Sugar Syrup
329,Whole Egg
330,Chilled club soda
331,Giffard Banane du Brésil
332,Creme de Cacao
333,Brown sugar
334,Lemon lime soda
335,Cyril Zangs Double Zero Eau de Vie de Cidre
336,Oatmeal-Infused Karlsson's Gold Vodka
337,Chateau de Montifaud Pineau des Charentes Rose
338,Cucumber slices
339,Ginger Syrup
340,Kombu tincture
341,Luxardo Cherry Syrup
342,Fresh Ginger Syrup
343,Pickled okra
344,Angostura
345,Luxardo Triplum (Triple Sec)
346,Ginger ale
347,Wild Hibiscus Tea
348,Coconut Rum
349,bag Chai Tea
350,Plantation Pineapple Rum
351,Briottet Creme de Framboise (Raspberry)
352,Smith & Cross
353,Nikka Coffey Grain Whiskey
354,Watermelon Liqueur
355,15 YO Sherry
356,Black pepper
357,Chartreuse
358,Sparkling Water
359,Almond Cream Soda
360,Simple Syrup (1:1)
361,Raspberry Jello packages
362,fill Tonic water
363,Hot Water
364,Strega
365,White Port
366,Pasteurized Egg White
367,Noyeau de Poissy B
368,Sparkling Wine
369,Belle Brillet
370,Orange Blossom Water
371,Luxardo Maraschino Liqueur
372,Grade-A Maple Syrup (prefer McClure's)
373,Angostura bitters
374,Tomato Juice
375,Junmai Sake
376,Lime Juice 
377,Old Forester Bonded Bourbon
378,Rittenhouse Rye
379,oz St. Germaine Elderflower Liqueur
380,Coriander Tincture
381,Chocolate Mole Bitters
382,float Gosslings 151 Rum
383,Mandarin Orange
384,Nutmeg
385,float Dry Sparkling Wine
386,Dijon Blue Curaçao
387,oz Lemon
388,Fever-Tree Tonic
389,Woodford Reserve Double Oaked
390,top Ginger Beer
391,Fresh Squeezed Pineapple Juice
392,Boiron Kalamansi Juice
393,Citric Acid or Lime Juice
394,Tempus Fugit Alessio Vermouth Chinato
395,Glenrothes Bourbon Reserve
396,Pear Watercress Puree
397,Lavander syrup
398,No.3 London Dry Gin or H by HINE
399,Luxardo Cherry Syrup (from jar of cherries)
400,Truffle Tincture
401,Bittermens Burlesque Bitters
402,Homemade Irish Cream
403,mist Laphroaig
404,Cannella Cinnamon Cordial
405,oz Elder Flower Liquor
406,Chocolate Bitters
407,Fernet-Branca
408,Acacia Honey Syrup
409,1/2 oz Old Potrero Straight Rye Whiskey
410,Simple syrup (2:1 sugar water)
411,splash Soda Water
412,Fresh squeezed lime juice
413,Grapefruit Shrub
414,Mandarine Napoléon
415,Fresh cilantro (stems on)
416,St. George Absinthe
417,Chateau de Montifaud Cognac VSOP
418,Dolin Blanc
419,Apple Water
420,House-made Organic Pear Syrup
421,Chateau de Montifaud XO Silver
422,Lillet Rose
423,Real Lemon Juice
424,Penny Blue Mauritian Rum
425,HINE Rare VSOP
426,Ginger root
427,Vanilla Powder
428,Orange-scented Maple Syrup
429,Double cream
430,Spiced Butter
431,No.3 London Dry Gin
432,Olive Juice
433,Sauternes
434,Anchor Liberty Ale
435,top Hot Water
436,Fresh pressed Apple Cider
437,Chateau de Montifaud Reserve Speciale Michel Vallet
438,Jerry Thomas Bitters
439,Cold-pressed Apple Cider
440,Lemon juice
441,Beet Thyme Reduction
442,New York Apple Whisky
443,float English Harbour Rum
444,Mancino Vermouth Secco
445,Grenadine 'Layered' Beer Back
446,St. Elizabeth Allspice Dram
447,Hard Apple Cider
448,Nikka Coffey Grain Whisky
449,Jasmine Green Tea
450,Grenadine
451,Snake Oil's House-made Sarsaparilla Syrup
452,Peach Puree
453,Fresh Lemon
454,Fresh Lemon Juice 
455,Sun Gold Cherry Tomatoes
456,Pressed Apple Juice
457,Zirbenz Stone Pine
458,Pear Sage Foam
459,Golden Sesame Honey
460,Pusser's Blue Label Rum 
461,Glenrothes Vintage Reserve
462,Cold Blue Bottle Coffee
463,Rhum Agricole-style
464,Milk
465,Fresh Raspberries
466,Old Potrero Straight Rye Whiskey
467,Cane Sugar
468,Tippleman's Barrel Smoked Maple Syrup
469,few drops Peychaud's Bitters
470,Simple Syrup (equal parts sugar and water)
471,Seedless Blackberry Jam
472,Champagne or Prosecco
473,zested (plus flesh of one lemon)
474,Guava Nectar
475,Rocoto passion fruit reduction
476,Grapes
477,Vanilla-Salt Spray
478,Perfect Puree White Peach
479,Hirsch Small Batch Reserve Bourbon
480,LemonJuice
481,Grapefruit
482,Ginger-Cinnamon Syrup
483,Walnut Oil
484,Branca Menta
485,fill Soda water
486,Coconut Pistachio Puree
487,Seltzer Water
488,Monin French Raspberry Syrup
489,Lager
490,Yellow Chartreuse
491,Pomegranate Ice Cube
492,Thyme Simple Syrup
493,Molasses
494,Orange Sorbet
495,Lustau Dry Olorosso Sherry
496,Averna Amaro
497,Orgeat
498,Fever Tree Ginger Beer
499,Genevieve Gin
500,Clover's Gingersnap
501,Fresh Sage leaves
502,Chilled Dry Champagne
503,Lemon Verbena Cordial
504,Simple syrup
505,Cinnamon-Chipotle Syrup
506,Lemon zest
507,float Old Vine Zin
508,Domingo Perez Marin 'la Guita' Manzanilla Sherry
509,Bar Keep fennel bitters
510,Vanilla ice cream
511,Spiced Apricot Syrup
512,Funkin Passion Fruit Puree
513,Passion fruit
514,Cherry Herring
515,Old Overholt Straight Rye Whiskey
516,Sweet Vermouth
517,Lustau East India Solera
518,Salers Gentiane Aperitif
519,Snake Oil's House-made Pomegranate Bitters
520,Cocchi Vermouth di Torino
521,Honey Syrup (1:1 honey & water)
522,El Tesoro Reposado Tequila
523,Everclear
524,top Fever-Tree Ginger Ale
525,Ginger/Cardamom/Honey Syrup
526,Hophead Vodka
527,Black Peppercorns
528,Habanero tincture
529,top Sparkling Water
530,Clarified Milk
531,Hangar 1 Vodka
532,Sea Salt Tincture
533,Honey syrup
534,Mango Juice
535,Fresh Lime Juice
536,Honey Cinnamon Syrup
537,Vermut Vermouth
538,Lime juice
539,Leopold Bros. Bitter
540,Angostura bitters (optional)
541,Christmas Spirit
542,Simple Syrup 
543,Krogstad Aquavit
544,Toasted Pecan Syrup
545,Bittercube Door County Hop Bitters
546,H by HINE
547,Amer Picon
548,Giffard Crème de Pêche de Vigne
549,D.O.M Benedictine
550,Amaro
551,Citric Acid
552,Giffard Pamplemousse
553,Brown Sugar Syrup (2:1)
554,Lemon
555,Cinnamon Bitters
556,Amalfi Lemon
557,Thai Coconut Milk
558,Clement Creole Shrubb
559,Cointreau
560,Ancho Reyes Chile Liqueur
561,Luxardo Maraschino Cherries
562,Coca-Cola
563,Dolin Vermouth
564,fill Club Soda
565,Demerara Simple Syrup (1:1)
566,Fresh Shibori Yuzu juice
567,oz Dehydrated pear slice
568,top Homemade Pink Grapefruit Soda
569,oz Fresh lime sweet n' sour mix
570,Old Overholt Rye
571,Red Hawaiian Salt
572,Simple Syrup (optional)
573,Osha Falernum
574,Pineapple Gomme Syrup
575,Fresh Lemon Juice (optional)
576,Medium Carrot
577,Orange
578,Roasted Cherry
579,Laird's Straight Bonded
580,Pear & Celery Puree
581,Chinaco Anejo Tequila
582,Luxardo Slivovitz
583,St. Germain
584,Tempus Fugit Gran Classico Bitter
585,Bar Keep Lavender Spice Bitters
586,Lemongrass ginger syrup
587,oz Pink Pigeon Rum
588,Orange Flower Water
589,Coconut Cream
590,Pressed apple juice
591,Pontarlier Anis
592,Nux Alpina Walnut Nocino Liqueur
593,Moroccan Mint Tea (chilled)
594,Wild Turkey 101 Rye
595,Dry Amontillado Sherry
596,House-made Tarragon Tincture
597,Orange Bitters
598,Cherries
599,Fee Brothers Rhubard bitters
600,Fresh Strawberry Juice w/ Xanthan Gum
601,Apricot Eau-de-Vie
602,Dr. Adam's Boker's bitters
603,oz Prosecco
604,Vanilla flavored Vodka
605,Cherry Bitters
606,Mint Sprig
607,Demerara Sugar
608,Luxardo Espresso Italian Liqueur
609,Luxardo Amaretto di Saschira
610,Cola
611,Fresh lime sweet n' sour
612,Genever
